student_id,question_id,topic,difficulty,question_type,student_answer,correct_answer,is_correct,score,time_spent,result,transaction
S47,Q58,Classification,Medium,MCQ,Uses FP-tree,Decision Tree,0,0,52,Wrong,"['Student_S47', 'Topic_Classification', 'Difficulty_Medium', 'Wrong']"
S14,Q23,Evaluation Metrics,Medium,MCQ,Accuracy,Accuracy,1,1,25,Correct,"['Student_S14', 'Topic_Evaluation Metrics', 'Difficulty_Medium', 'Correct']"
S21,Q52,Association Rules,Medium,MCQ,Support and Confidence,Support and Confidence,1,1,21,Correct,"['Student_S21', 'Topic_Association Rules', 'Difficulty_Medium', 'Correct']"
S95,Q60,Data Preprocessing,Medium,MCQ,Candidate generation,True,0,0,20,Wrong,"['Student_S95', 'Topic_Data Preprocessing', 'Difficulty_Medium', 'Wrong']"
S90,Q7,Feature Selection,Easy,True/False,Uses FP-tree,Reduce dimensionality,0,0,22,Wrong,"['Student_S90', 'Topic_Feature Selection', 'Difficulty_Easy', 'Wrong']"
S59,Q23,Apriori,Easy,MCQ,Candidate generation,Candidate generation,1,1,11,Correct,"['Student_S59', 'Topic_Apriori', 'Difficulty_Easy', 'Correct']"
S85,Q13,Feature Selection,Medium,True/False,Reduce dimensionality,Reduce dimensionality,1,1,14,Correct,"['Student_S85', 'Topic_Feature Selection', 'Difficulty_Medium', 'Correct']"
S99,Q18,Data Preprocessing,Hard,True/False,True,True,1,1,53,Correct,"['Student_S99', 'Topic_Data Preprocessing', 'Difficulty_Hard', 'Correct']"
S69,Q22,Classification,Easy,True/False,Decision Tree,Decision Tree,1,1,21,Correct,"['Student_S69', 'Topic_Classification', 'Difficulty_Easy', 'Correct']"
S75,Q17,Classification,Easy,True/False,True,Decision Tree,0,0,56,Wrong,"['Student_S75', 'Topic_Classification', 'Difficulty_Easy', 'Wrong']"
S41,Q28,Evaluation Metrics,Easy,True/False,Accuracy,Accuracy,1,1,46,Correct,"['Student_S41', 'Topic_Evaluation Metrics', 'Difficulty_Easy', 'Correct']"
S25,Q17,Classification,Hard,True/False,Decision Tree,Decision Tree,0,0,43,Wrong,"['Student_S25', 'Topic_Classification', 'Difficulty_Hard', 'Wrong']"
S69,Q44,FP-Growth,Medium,True/False,Uses FP-tree,Uses FP-tree,1,1,14,Correct,"['Student_S69', 'Topic_FP-Growth', 'Difficulty_Medium', 'Correct']"
S86,Q59,Data Preprocessing,Hard,True/False,True,True,1,1,52,Correct,"['Student_S86', 'Topic_Data Preprocessing', 'Difficulty_Hard', 'Correct']"
S16,Q47,Apriori,Hard,True/False,Reduce dimensionality,Candidate generation,0,0,30,Wrong,"['Student_S16', 'Topic_Apriori', 'Difficulty_Hard', 'Wrong']"
S52,Q45,Apriori,Hard,MCQ,Uses FP-tree,Candidate generation,0,0,36,Wrong,"['Student_S52', 'Topic_Apriori', 'Difficulty_Hard', 'Wrong']"
S86,Q25,Association Rules,Hard,True/False,Reduce dimensionality,Support and Confidence,0,0,45,Wrong,"['Student_S86', 'Topic_Association Rules', 'Difficulty_Hard', 'Wrong']"
S1,Q20,Apriori,Easy,True/False,True,Candidate generation,0,0,39,Wrong,"['Student_S1', 'Topic_Apriori', 'Difficulty_Easy', 'Wrong']"
S57,Q29,FP-Growth,Hard,True/False,Uses FP-tree,Uses FP-tree,1,1,60,Correct,"['Student_S57', 'Topic_FP-Growth', 'Difficulty_Hard', 'Correct']"
S95,Q11,Clustering,Medium,True/False,Initial centroids,Initial centroids,1,1,15,Correct,"['Student_S95', 'Topic_Clustering', 'Difficulty_Medium', 'Correct']"
S97,Q16,Apriori,Easy,MCQ,Candidate generation,Candidate generation,1,1,19,Correct,"['Student_S97', 'Topic_Apriori', 'Difficulty_Easy', 'Correct']"
S4,Q3,FP-Growth,Medium,MCQ,Uses FP-tree,Uses FP-tree,1,1,39,Correct,"['Student_S4', 'Topic_FP-Growth', 'Difficulty_Medium', 'Correct']"
S54,Q57,FP-Growth,Hard,True/False,Detect anomalies,Uses FP-tree,0,0,35,Wrong,"['Student_S54', 'Topic_FP-Growth', 'Difficulty_Hard', 'Wrong']"
S32,Q10,Classification,Easy,True/False,Decision Tree,Decision Tree,1,1,24,Correct,"['Student_S32', 'Topic_Classification', 'Difficulty_Easy', 'Correct']"
S23,Q52,Evaluation Metrics,Medium,MCQ,Accuracy,Accuracy,1,1,45,Correct,"['Student_S23', 'Topic_Evaluation Metrics', 'Difficulty_Medium', 'Correct']"
S32,Q59,Clustering,Medium,MCQ,Initial centroids,Initial centroids,1,1,39,Correct,"['Student_S32', 'Topic_Clustering', 'Difficulty_Medium', 'Correct']"
S86,Q34,Evaluation Metrics,Hard,True/False,Accuracy,Accuracy,1,1,58,Correct,"['Student_S86', 'Topic_Evaluation Metrics', 'Difficulty_Hard', 'Correct']"
S57,Q40,Evaluation Metrics,Medium,True/False,Accuracy,Accuracy,1,1,20,Correct,"['Student_S57', 'Topic_Evaluation Metrics', 'Difficulty_Medium', 'Correct']"
S96,Q56,Outlier Detection,Medium,True/False,Detect anomalies,Detect anomalies,1,1,58,Correct,"['Student_S96', 'Topic_Outlier Detection', 'Difficulty_Medium', 'Correct']"
S32,Q54,Apriori,Hard,True/False,Candidate generation,Candidate generation,1,1,50,Correct,"['Student_S32', 'Topic_Apriori', 'Difficulty_Hard', 'Correct']"
S31,Q18,Outlier Detection,Easy,True/False,Uses FP-tree,Detect anomalies,0,0,27,Wrong,"['Student_S31', 'Topic_Outlier Detection', 'Difficulty_Easy', 'Wrong']"
S43,Q21,Evaluation Metrics,Easy,MCQ,Support and Confidence,Accuracy,0,0,24,Wrong,"['Student_S43', 'Topic_Evaluation Metrics', 'Difficulty_Easy', 'Wrong']"
S50,Q45,Association Rules,Hard,MCQ,Initial centroids,Support and Confidence,0,0,36,Wrong,"['Student_S50', 'Topic_Association Rules', 'Difficulty_Hard', 'Wrong']"
S53,Q22,Evaluation Metrics,Medium,True/False,Accuracy,Accuracy,1,1,13,Correct,"['Student_S53', 'Topic_Evaluation Metrics', 'Difficulty_Medium', 'Correct']"
S27,Q54,Feature Selection,Medium,MCQ,Reduce dimensionality,Reduce dimensionality,0,0,40,Wrong,"['Student_S27', 'Topic_Feature Selection', 'Difficulty_Medium', 'Wrong']"
S1,Q23,Apriori,Medium,True/False,Candidate generation,Candidate generation,1,1,44,Correct,"['Student_S1', 'Topic_Apriori', 'Difficulty_Medium', 'Correct']"
S96,Q48,Evaluation Metrics,Hard,MCQ,Accuracy,Accuracy,1,1,41,Correct,"['Student_S96', 'Topic_Evaluation Metrics', 'Difficulty_Hard', 'Correct']"
S29,Q18,Feature Selection,Medium,MCQ,Reduce dimensionality,Reduce dimensionality,0,0,31,Wrong,"['Student_S29', 'Topic_Feature Selection', 'Difficulty_Medium', 'Wrong']"
S86,Q44,Feature Selection,Hard,MCQ,Reduce dimensionality,Reduce dimensionality,1,1,39,Correct,"['Student_S86', 'Topic_Feature Selection', 'Difficulty_Hard', 'Correct']"
S17,Q40,Evaluation Metrics,Easy,True/False,Accuracy,Accuracy,1,1,47,Correct,"['Student_S17', 'Topic_Evaluation Metrics', 'Difficulty_Easy', 'Correct']"
S73,Q43,Classification,Easy,True/False,Support and Confidence,Decision Tree,0,0,39,Wrong,"['Student_S73', 'Topic_Classification', 'Difficulty_Easy', 'Wrong']"
S24,Q4,Apriori,Medium,True/False,Uses FP-tree,Candidate generation,0,0,39,Wrong,"['Student_S24', 'Topic_Apriori', 'Difficulty_Medium', 'Wrong']"
S42,Q22,Feature Selection,Medium,True/False,Candidate generation,Reduce dimensionality,0,0,15,Wrong,"['Student_S42', 'Topic_Feature Selection', 'Difficulty_Medium', 'Wrong']"
S61,Q2,Evaluation Metrics,Easy,True/False,Uses FP-tree,Accuracy,0,0,51,Wrong,"['Student_S61', 'Topic_Evaluation Metrics', 'Difficulty_Easy', 'Wrong']"
S9,Q50,Classification,Easy,MCQ,Decision Tree,Decision Tree,1,1,22,Correct,"['Student_S9', 'Topic_Classification', 'Difficulty_Easy', 'Correct']"
S3,Q40,Association Rules,Easy,MCQ,Support and Confidence,Support and Confidence,1,1,40,Correct,"['Student_S3', 'Topic_Association Rules', 'Difficulty_Easy', 'Correct']"
S86,Q8,FP-Growth,Medium,True/False,Uses FP-tree,Uses FP-tree,1,1,59,Correct,"['Student_S86', 'Topic_FP-Growth', 'Difficulty_Medium', 'Correct']"
S48,Q11,Clustering,Easy,True/False,Initial centroids,Initial centroids,1,1,16,Correct,"['Student_S48', 'Topic_Clustering', 'Difficulty_Easy', 'Correct']"
S75,Q2,Apriori,Hard,True/False,Candidate generation,Candidate generation,1,1,35,Correct,"['Student_S75', 'Topic_Apriori', 'Difficulty_Hard', 'Correct']"
S92,Q13,Clustering,Hard,MCQ,Initial centroids,Initial centroids,0,0,54,Wrong,"['Student_S92', 'Topic_Clustering', 'Difficulty_Hard', 'Wrong']"
S99,Q20,Clustering,Hard,MCQ,Initial centroids,Initial centroids,1,1,32,Correct,"['Student_S99', 'Topic_Clustering', 'Difficulty_Hard', 'Correct']"
S69,Q28,Data Preprocessing,Easy,True/False,True,True,1,1,10,Correct,"['Student_S69', 'Topic_Data Preprocessing', 'Difficulty_Easy', 'Correct']"
S54,Q53,Outlier Detection,Easy,True/False,Detect anomalies,Detect anomalies,1,1,33,Correct,"['Student_S54', 'Topic_Outlier Detection', 'Difficulty_Easy', 'Correct']"
S82,Q58,Outlier Detection,Hard,MCQ,Detect anomalies,Detect anomalies,1,1,37,Correct,"['Student_S82', 'Topic_Outlier Detection', 'Difficulty_Hard', 'Correct']"
S23,Q47,Evaluation Metrics,Hard,True/False,Accuracy,Accuracy,0,0,59,Wrong,"['Student_S23', 'Topic_Evaluation Metrics', 'Difficulty_Hard', 'Wrong']"
S62,Q30,Feature Selection,Hard,True/False,True,Reduce dimensionality,0,0,25,Wrong,"['Student_S62', 'Topic_Feature Selection', 'Difficulty_Hard', 'Wrong']"
S12,Q18,Outlier Detection,Easy,True/False,Reduce dimensionality,Detect anomalies,0,0,31,Wrong,"['Student_S12', 'Topic_Outlier Detection', 'Difficulty_Easy', 'Wrong']"
S4,Q32,Data Preprocessing,Easy,True/False,True,True,1,1,23,Correct,"['Student_S4', 'Topic_Data Preprocessing', 'Difficulty_Easy', 'Correct']"
S46,Q52,Apriori,Medium,True/False,Candidate generation,Candidate generation,1,1,48,Correct,"['Student_S46', 'Topic_Apriori', 'Difficulty_Medium', 'Correct']"
S90,Q57,Apriori,Hard,MCQ,Candidate generation,Candidate generation,1,1,43,Correct,"['Student_S90', 'Topic_Apriori', 'Difficulty_Hard', 'Correct']"
S25,Q6,FP-Growth,Hard,True/False,Detect anomalies,Uses FP-tree,0,0,45,Wrong,"['Student_S25', 'Topic_FP-Growth', 'Difficulty_Hard', 'Wrong']"
S98,Q16,Outlier Detection,Hard,True/False,Detect anomalies,Detect anomalies,1,1,38,Correct,"['Student_S98', 'Topic_Outlier Detection', 'Difficulty_Hard', 'Correct']"
S3,Q6,Apriori,Easy,True/False,Candidate generation,Candidate generation,1,1,54,Correct,"['Student_S3', 'Topic_Apriori', 'Difficulty_Easy', 'Correct']"
S32,Q20,Data Preprocessing,Medium,True/False,Reduce dimensionality,True,0,0,57,Wrong,"['Student_S32', 'Topic_Data Preprocessing', 'Difficulty_Medium', 'Wrong']"
S71,Q22,Data Preprocessing,Hard,True/False,Candidate generation,True,0,0,29,Wrong,"['Student_S71', 'Topic_Data Preprocessing', 'Difficulty_Hard', 'Wrong']"
S33,Q15,Clustering,Hard,MCQ,True,Initial centroids,0,0,17,Wrong,"['Student_S33', 'Topic_Clustering', 'Difficulty_Hard', 'Wrong']"
S96,Q35,Association Rules,Easy,MCQ,Support and Confidence,Support and Confidence,1,1,57,Correct,"['Student_S96', 'Topic_Association Rules', 'Difficulty_Easy', 'Correct']"
S62,Q18,Evaluation Metrics,Hard,True/False,Initial centroids,Accuracy,0,0,22,Wrong,"['Student_S62', 'Topic_Evaluation Metrics', 'Difficulty_Hard', 'Wrong']"
S38,Q15,Data Preprocessing,Easy,True/False,True,True,1,1,10,Correct,"['Student_S38', 'Topic_Data Preprocessing', 'Difficulty_Easy', 'Correct']"
S91,Q35,Association Rules,Medium,MCQ,Support and Confidence,Support and Confidence,1,1,13,Correct,"['Student_S91', 'Topic_Association Rules', 'Difficulty_Medium', 'Correct']"
S71,Q19,Association Rules,Hard,True/False,Support and Confidence,Support and Confidence,1,1,16,Correct,"['Student_S71', 'Topic_Association Rules', 'Difficulty_Hard', 'Correct']"
S2,Q37,Apriori,Medium,True/False,Candidate generation,Candidate generation,1,1,38,Correct,"['Student_S2', 'Topic_Apriori', 'Difficulty_Medium', 'Correct']"
S44,Q12,Classification,Medium,True/False,Decision Tree,Decision Tree,1,1,17,Correct,"['Student_S44', 'Topic_Classification', 'Difficulty_Medium', 'Correct']"
S9,Q26,Outlier Detection,Easy,MCQ,Support and Confidence,Detect anomalies,0,0,19,Wrong,"['Student_S9', 'Topic_Outlier Detection', 'Difficulty_Easy', 'Wrong']"
S73,Q20,Clustering,Easy,MCQ,Initial centroids,Initial centroids,1,1,45,Correct,"['Student_S73', 'Topic_Clustering', 'Difficulty_Easy', 'Correct']"
S98,Q27,FP-Growth,Hard,True/False,Detect anomalies,Uses FP-tree,0,0,38,Wrong,"['Student_S98', 'Topic_FP-Growth', 'Difficulty_Hard', 'Wrong']"
S39,Q56,Feature Selection,Medium,MCQ,Initial centroids,Reduce dimensionality,0,0,58,Wrong,"['Student_S39', 'Topic_Feature Selection', 'Difficulty_Medium', 'Wrong']"
S27,Q41,FP-Growth,Medium,MCQ,Support and Confidence,Uses FP-tree,0,0,25,Wrong,"['Student_S27', 'Topic_FP-Growth', 'Difficulty_Medium', 'Wrong']"
S23,Q36,Clustering,Easy,MCQ,Initial centroids,Initial centroids,1,1,36,Correct,"['Student_S23', 'Topic_Clustering', 'Difficulty_Easy', 'Correct']"
S58,Q45,Outlier Detection,Medium,MCQ,Detect anomalies,Detect anomalies,1,1,24,Correct,"['Student_S58', 'Topic_Outlier Detection', 'Difficulty_Medium', 'Correct']"
S37,Q46,Apriori,Hard,True/False,Initial centroids,Candidate generation,0,0,53,Wrong,"['Student_S37', 'Topic_Apriori', 'Difficulty_Hard', 'Wrong']"
S30,Q60,Apriori,Hard,MCQ,Reduce dimensionality,Candidate generation,0,0,17,Wrong,"['Student_S30', 'Topic_Apriori', 'Difficulty_Hard', 'Wrong']"
S70,Q15,Association Rules,Medium,MCQ,Support and Confidence,Support and Confidence,1,1,14,Correct,"['Student_S70', 'Topic_Association Rules', 'Difficulty_Medium', 'Correct']"
S8,Q11,Apriori,Hard,True/False,Detect anomalies,Candidate generation,0,0,17,Wrong,"['Student_S8', 'Topic_Apriori', 'Difficulty_Hard', 'Wrong']"
S60,Q45,Apriori,Hard,True/False,Candidate generation,Candidate generation,0,0,42,Wrong,"['Student_S60', 'Topic_Apriori', 'Difficulty_Hard', 'Wrong']"
S70,Q32,Outlier Detection,Easy,MCQ,Detect anomalies,Detect anomalies,1,1,37,Correct,"['Student_S70', 'Topic_Outlier Detection', 'Difficulty_Easy', 'Correct']"
S95,Q21,Apriori,Easy,MCQ,Candidate generation,Candidate generation,1,1,24,Correct,"['Student_S95', 'Topic_Apriori', 'Difficulty_Easy', 'Correct']"
S87,Q54,Classification,Hard,True/False,Decision Tree,Decision Tree,0,0,58,Wrong,"['Student_S87', 'Topic_Classification', 'Difficulty_Hard', 'Wrong']"
S97,Q12,Outlier Detection,Hard,True/False,Detect anomalies,Detect anomalies,1,1,27,Correct,"['Student_S97', 'Topic_Outlier Detection', 'Difficulty_Hard', 'Correct']"
